Date,Price,Open,High,Low,Vol.,Change %
8/1/2003,15.0,15.0,15.25,14.5,11.38M,0.00%
9/1/2003,22.5,15.0,24.75,15.0,79.56M,50.00%
10/1/2003,27.25,22.75,30.0,22.5,48.79M,21.11%
11/1/2003,21.75,27.25,27.25,16.0,54.40M,-20.18%
12/1/2003,18.25,21.25,21.25,17.25,10.32M,-16.09%
1/1/2004,20.5,18.0,23.0,18.0,25.51M,12.33%
2/1/2004,19.0,20.75,20.75,16.25,17.62M,-7.32%
3/1/2004,18.5,19.25,19.5,17.25,10.37M,-2.63%
4/1/2004,15.25,18.5,19.5,15.0,15.99M,-17.57%
5/1/2004,15.75,15.25,16.75,15.25,30.68M,3.28%
6/1/2004,16.75,16.0,16.75,15.0,16.71M,6.35%
7/1/2004,20.0,16.5,20.5,16.25,30.75M,19.40%
8/1/2004,18.5,20.0,20.5,17.75,9.68M,-7.50%
9/1/2004,18.5,18.5,20.0,18.25,6.41M,0.00%
10/1/2004,17.75,18.5,19.0,17.25,3.77M,-4.05%
11/1/2004,16.75,18.0,18.0,15.75,8.61M,-5.63%
12/1/2004,15.75,16.75,17.25,15.5,4.65M,-5.97%
1/1/2005,16.0,15.5,16.75,15.5,11.10M,1.59%
2/1/2005,16.25,16.25,18.5,16.0,15.26M,1.56%
3/1/2005,16.25,16.25,17.0,15.75,13.01M,0.00%
4/1/2005,16.75,16.25,17.0,16.0,5.50M,3.08%
5/1/2005,19.5,16.5,20.0,16.25,17.80M,16.42%
6/1/2005,22.0,19.25,23.0,18.5,24.26M,12.82%
7/1/2005,23.0,22.0,25.0,21.25,54.34M,4.55%
8/1/2005,22.25,23.25,23.75,21.5,25.68M,-3.26%
9/1/2005,24.5,22.25,24.5,22.0,21.36M,10.11%
10/1/2005,25.5,24.5,27.0,24.5,26.93M,4.08%
11/1/2005,21.0,25.5,26.0,18.0,27.40M,-17.65%
12/1/2005,16.5,20.75,21.0,15.75,11.02M,-21.43%
1/1/2006,19.0,16.75,19.75,14.75,35.31M,15.15%
2/1/2006,18.75,19.5,19.5,18.0,18.07M,-1.32%
3/1/2006,18.0,19.0,19.25,17.75,16.73M,-4.00%
4/1/2006,17.75,18.25,19.5,16.25,8.34M,-1.39%
5/1/2006,18.0,17.75,18.5,16.5,4.58M,1.41%
6/1/2006,18.0,18.25,18.75,17.0,14.73M,0.00%
7/1/2006,19.0,18.0,19.5,17.75,4.79M,5.56%
8/1/2006,20.0,19.0,20.0,18.0,5.93M,5.26%
9/1/2006,21.0,20.0,21.0,19.5,8.99M,5.00%
10/1/2006,23.0,21.0,24.25,21.0,22.39M,9.52%
11/1/2006,29.0,23.25,29.75,23.0,145.87M,26.09%
12/1/2006,27.75,29.25,29.75,26.5,8.49M,-4.31%
1/1/2007,32.5,28.0,33.75,28.0,41.97M,17.12%
2/1/2007,42.75,32.5,43.25,32.25,46.00M,31.54%
3/1/2007,37.25,42.75,42.75,36.25,21.55M,-12.87%
4/1/2007,38.0,37.25,39.25,37.0,3.08M,2.01%
5/1/2007,36.0,38.0,38.75,34.5,6.72M,-5.26%
6/1/2007,36.5,36.0,39.25,36.0,9.60M,1.39%
7/1/2007,33.5,36.5,36.75,30.25,4.54M,-8.22%
8/1/2007,34.0,33.0,36.0,32.0,2.52M,1.49%
9/1/2007,33.25,34.0,36.25,33.0,7.12M,-2.21%
10/1/2007,34.0,33.0,35.0,33.0,5.68M,2.26%
11/1/2007,33.0,34.25,35.5,32.5,5.40M,-2.94%
12/1/2007,31.5,32.5,33.0,31.0,2.91M,-4.55%
1/1/2008,31.25,32.0,32.75,29.0,2.68M,-0.79%
2/1/2008,34.5,31.25,35.5,30.0,8.66M,10.40%
3/1/2008,41.5,34.75,42.0,34.25,112.63M,20.29%
4/1/2008,48.75,42.0,49.75,42.0,764.06M,17.47%
5/1/2008,49.0,48.5,49.25,48.5,9.11M,0.51%
6/1/2008,45.5,48.5,49.0,44.0,1.08M,-7.14%
7/1/2008,46.75,45.0,47.5,40.5,900.00K,2.75%
8/1/2008,45.5,46.75,47.5,44.0,866.30K,-2.67%
9/1/2008,42.0,45.5,47.0,40.5,1.57M,-7.69%
10/1/2008,39.0,41.5,43.25,33.75,896.70K,-7.14%
11/1/2008,33.75,39.0,43.0,31.0,521.60K,-13.46%
12/1/2008,31.0,34.75,34.75,29.75,260.70K,-8.15%
1/1/2009,37.5,31.0,38.0,31.0,763.90K,20.97%
2/1/2009,35.0,38.0,38.0,34.25,236.40K,-6.67%
3/1/2009,33.0,35.0,35.5,32.0,622.50K,-5.71%
4/1/2009,39.0,34.0,40.0,33.5,1.84M,18.18%
5/1/2009,42.0,39.5,45.0,38.0,1.23M,7.69%
6/1/2009,49.0,41.75,51.0,41.0,3.10M,16.67%
7/1/2009,47.5,48.25,48.5,44.75,979.50K,-3.06%
8/1/2009,42.0,47.5,47.5,40.25,1.34M,-11.58%
9/1/2009,45.0,42.0,47.25,40.0,1.64M,7.14%
10/1/2009,44.0,45.0,48.0,41.5,1.80M,-2.22%
11/1/2009,40.5,43.5,44.5,39.5,479.50K,-7.95%
